
Host: HogEye

Timers On : Fri Feb  4 13:46:51 2022
Timers Off: Fri Feb  4 13:46:52 2022

Wall Time:        0.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 13:48:00 2022
Timers Off: Fri Feb  4 13:48:00 2022

Wall Time:        0.32 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 13:49:46 2022
Timers Off: Fri Feb  4 13:49:47 2022

Wall Time:        0.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 13:49:46 2022
Timers Off: Fri Feb  4 13:49:47 2022

Wall Time:        1.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:02:48 2022
Timers Off: Fri Feb  4 14:02:49 2022

Wall Time:        0.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:02:48 2022
Timers Off: Fri Feb  4 14:02:49 2022

Wall Time:        1.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:06:32 2022
Timers Off: Fri Feb  4 14:06:33 2022

Wall Time:        0.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:14:39 2022
Timers Off: Fri Feb  4 14:15:14 2022

Wall Time:       34.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.196w     50 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      2.116w   1150 calls
DFH: initialize()                   :      0.000u      0.000s      0.952w     50 calls
DFH: AO Construction                :      0.000u      0.000s      0.153w     50 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.100w     50 calls
HF: Form core H                     :      0.000u      0.000s      0.164w     50 calls
HF: Form S/X                        :      0.000u      0.000s      0.021w     50 calls
HF: Guess                           :      0.000u      0.000s      0.044w     50 calls
SAD Guess                           :      0.000u      0.000s      0.042w      1 calls
HF: Form G                          :      0.000u      0.000s     11.094w   1058 calls
JK: D                               :      0.000u      0.000s      0.008w   1058 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w   1058 calls
JK: JK                              :      0.000u      0.000s     11.063w   1058 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.359w    608 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    608 calls
DFH: compute_J                      :      0.000u      0.000s      0.044w    608 calls
DFH: compute_K                      :      0.000u      0.000s      0.141w    608 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w   1058 calls
HF: Form F                          :      0.000u      0.000s      0.009w   1058 calls
HF: Form D                          :      0.000u      0.000s      0.006w   1058 calls
HF: DIIS                            :      0.000u      0.000s      0.826w   1057 calls
DIISManager::add_entry              :      0.000u      0.000s      0.015w   1008 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.056w   1008 calls
bMatrix setup                       :      0.000u      0.000s      0.007w   1008 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.019w   1008 calls
New vector                          :      0.000u      0.000s      0.027w   1008 calls
HF: Form C                          :      0.000u      0.000s      0.663w   1057 calls
Grad: V T Perturb                   :      0.000u      0.000s      4.867w     50 calls
Grad: S                             :      0.000u      0.000s      0.006w     50 calls
